id_company,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,id_ratio,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,composite_quality_score,year_num,id,company_id_market,year_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct
ABB,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,22.0,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83.0,1213.0,12.1738707400457,21.191023990902647,92.06,2024.0,6,ABB,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96
ADANIENSOL,"https://m.economictimes.com/thumb/msid-117371599,width-1200,height-900,resizemode-4,imgsize-5642/the-growth-story-remains-intact-for-adani-energy-solutions-says-jefferies.jpg",Adani Energy Solutions Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIENSOL,"AESL, part of the Adani portfolio, is a multidimensional organization with presence in various facets of the energy domain, namely power transmission, distribution, smart metering, and cooling solutions. AESL is India's largest private transmission company",https://www.adanienergysolutions.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENSOL,https://www.bseindia.com/stock-share-price/adani-energy-solutions-ltd/ADANIENSOL/539254/,10.0,175.0,9.0,8.59,34.0,ADANIENSOL,Mar 2024,7.199999999999999,30.0,9.46,2.9325,2.2848,0.2837,1095.0,4943.0,10.0,1.1337,0.0,37070.0,6038.0,,,,2024.0,12,ADANIENSOL,2024,348517.36,439276.19,58.5,9.05,14.83,1.65
ADANIENT,https://mkt.in/static/mkt-icons/nifty100/ADANIENT.png,Adani Enterprises Ltd,https://in.tradingview.com/chart/?symbol=ADANIENT,"Adani Enterprises Ltd is an Indian multinational public company and a subsidiary of Adani Group. It is headquartered in Ahmedabad and has business interests in coal mining and trading, airport operations, edible oils, road, rail and water infrastructure, data centers, hydrocarbon exploration, defence and aerospace, multimodal logistics, and agro commodities.",https://www.adanienterprises.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIENT,https://www.bseindia.com/stock-share-price/adani-enterprises-ltd/adanient/512,1.0,363.0,11.6,13.64,46.0,ADANIENT,Mar 2024,3.46,12.0,8.53,1.6714,2.7493,0.6004,-8455.0,18767.0,28.0,34.2772,5.0,65310.0,10312.0,6.880599865544146,9.58927403560983,35.1,2024.0,18,ADANIENT,2024,187927.97,191237.75,58.87,10.41,33.01,0.83
ADANIGREEN,https://mkt.in/static/mkt-icons/nifty100/ADANIGREEN.png,Adani Green Energy Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIGREEN,"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities.",http://www.adanigreenenergy.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIGREEN,https://www.bseindia.com/stock-share-price/adani-green-energy-ltd/ADANIGREEN/541450/,10.0,67.0,96.5,14.7,54.0,ADANIGREEN,Mar 2024,13.67,79.0,12.81,6.5953,1.7139,0.1047,-13347.0,21060.0,7.0,0.6208,0.0,64858.0,7713.0,51.55676088829046,,,2024.0,24,ADANIGREEN,2024,510512.78,491878.9,45.26,6.24,21.78,0.89
ADANIPORTS,https://mkt.in/static/mkt-icons/nifty100/ADANIPORTS.png,"Adani Ports & Special Economic Zone Ltd
",https://in.tradingview.com/chart/?symbol=NSE%3AADANIPORTS,"Adani Ports & Special Economic Zone is in the business of development, operations and maintenance of port infrastructure (port services and related infrastructure development) and has linked multi product Special Economic Zone (SEZ) and related infrastructure contiguous to Port at Mundra.",http://www.adaniports.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPORTS,https://www.bseindia.com/stock-share-price/adani-ports-special-economic-zone-ltd/ADANIPORTS/532921/,2.0,265.0,12.9,18.1,66.0,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470.0,15018.0,20.05470934648075,15.638343462810699,81.3,2024.0,30,ADANIPORTS,2024,675598.01,611165.74,48.9,2.31,31.76,1.16
ADANIPOWER,"https://mkt.in/static/mkt-icons/nifty100/ADANIPOWER.png
",Adani Power Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIPOWER,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10.0,145.0,32.2,57.1,90.0,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616.0,14170.0,20.137190057024966,,,2024.0,36,ADANIPOWER,2024,1372183.55,1357949.64,44.57,9.91,24.76,1.65
AMBUJACEM,https://mkt.in/static/mkt-icons/nifty100/AMBUJACEM.png,Ambuja Cements Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Ambuja Cements Ltd. is among the leading cement companies in India. It is a member of the Adani Group. Currently, Ambuja Cement has a cement capacity of 31 million tonnes with six integrated cement manufacturing plants",https://www.ambujacement.com/,https://www.nseindia.com/get-quotes/equity?symbol=AMBUJACEM,https://www.bseindia.com/stock-share-price/ambuja-cements-ltd/AMBUJACEM/500425/,2.0,205.0,12.8,9.24,101.0,AMBUJACEM,Mar 2024,14.29,19.0,11.43,0.0169,28.2645,0.5081,-3295.0,8941.0,16.0,9.4218,12.0,699.0,5646.0,11.771794310198104,12.538975810744013,64.95,2024.0,42,AMBUJACEM,2024,1281411.04,1198290.68,55.62,9.21,27.67,3.1
APOLLOHOSP,https://mkt.in/static/mkt-icons/nifty100/APOLLOHOSP.png,"Apollo Hospitals
Chain of Indian private hospitals",https://in.tradingview.com/chart/?symbol=NSE%3AAPOLLOHOSP,"Apollo Hospitals Enterprise Limited is an Indian multinational healthcare group headquartered in Chennai. It is the largest for-profit private hospital network in India, with a network of 71 owned and managed hospitals.",https://www.apollohospitals.com/,https://www.nseindia.com/get-quotes/equity?symbol=APOLLOHOSP,https://www.bseindia.com/stock-share-price/apollo-hospitals-enterprise-ltd/apollohosp/508869/,5.0,522.0,17.2,13.81,113.0,APOLLOHOSP,Mar 2024,4.91,13.0,13.48,0.7689,5.5657,1.1384,383.0,1537.0,63.0,9.6333,26.0,5333.0,1920.0,15.874678708463708,10.786818124561126,56.21,2024.0,48,APOLLOHOSP,2024,1905622.43,2433382.94,47.72,7.68,16.74,3.22
ASIANPAINT,https://mkt.in/static/mkt-icons/nifty100/ASIANPAINT.png,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",https://in.tradingview.com/chart/?symbol=NSE%3AASIANPAINT,"Asian Paints Ltd is an Indian multinational paint company, headquartered in Mumbai. The company is engaged in the business of manufacturing, selling and distribution of paints, coatings, products related to home decor, bath fittings and providing related services.",https://www.asianpaints.com/,https://www.nseindia.com/get-quotes/equity?symbol=ASIANPAINT,https://www.bseindia.com/stock-share-price/asian-paints-ltd/asianpaint/500820/,1.0,188.0,41.75,31.45,136.0,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474.0,6104.0,11.705320941335007,15.308162187698926,82.01,2024.0,54,ASIANPAINT,2024,2126725.18,2475080.63,73.37,3.9,23.94,2.42
ATGL,https://mkt.in/static/mkt-icons/nifty100/ATGL.png,Adani Total Gas Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AATGL,"AGL is engaged in City Gas Distribution (CGD) business and supplies natural gas to domestic, commercial, industrial and vehicle users.",http://www.adanigas.com/,https://www.nseindia.com/get-quotes/equity?symbol=ATGL,https://www.bseindia.com/stock-share-price/adani-total-gas-ltd/ATGL/542066/,1.0,36.0,21.2,20.5,,,,,,,,,,,,,,,,,,,,,60,ATGL,2024,1535602.41,1925338.89,56.96,5.76,28.93,0.51
AXISBANK,https://mkt.in/static/mkt-icons/nifty100/AXISBANK.png,Axis Bank Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AAXISBANK,"Incorporated in December 1993, Axis Bank Limited is a private sector bank.It has the third-largest network of branches among private sector banks and an international presence through branches in DIFC (Dubai) and Singapore along with representative offices in Abu Dhabi, Sharjah, Dhaka and Dubai and an offshore banking unit in GIFT City.",http://www.axisbank.com/,https://www.nseindia.com/get-quotes/equity?symbol=AXISBANK,https://www.bseindia.com/stock-share-price/axis-bank-ltd/AXISBANK/532215/,2.0,509.0,7.06,18.4,173.0,AXISBANK,Mar 2024,22.73,11952.0,15.83,8.2491,1.6912,0.072,-14556.0,9001.0,81.0,25.4494,1.0,1295302.0,-5555.0,13.491503789065007,15.327766208974714,64.65,2024.0,66,AXISBANK,2024,948868.63,929130.29,38.14,4.66,16.87,2.32
BAJAJ-AUTO,https://mkt.in/static/mkt-icons/nifty100/BAJAJ-AUTO.png,Bajaj Auto Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bajaj Auto, the flagship company of Bajaj Group, is a two-wheeler and three-wheeler manufacturing company that exports to 79 countries across several countries in Latin America, Southeast Asia, and many more. Its headquarter is in Pune, India.
It has acquired 48% of the KTM Brand which manufactures sports and super sports two-wheelers, which was 14% in 2007 when the company first acquired KTM. [1]

",https://www.bajajauto.com/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJ-AUTO,https://www.bseindia.com/stock-share-price/bajaj-auto-ltd/BAJAJ-AUTO/532977/,10.0,1109.0,33.5,26.5,160.0,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912.0,6558.0,7.610103604680107,8.528488754088425,72.99,2024.0,72,BAJAJ-AUTO,2024,653817.3,679803.97,29.91,9.83,20.14,3.59
BAJAJFINSV,https://mkt.in/static/mkt-icons/nifty100/BAJAJFINSV.png,Bajaj Finserv Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ABAJAJFINSV,"Bajaj Finserv Limited is an Indian non-banking financial services company headquartered in Pune. It is focused on lending, asset management, wealth management and insurance.",https://www.bajajfinserv.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJFINSV,https://www.bseindia.com/stock-share-price/bajaj-finserv-ltd/bajajfinsv/532978/,1.0,428.0,21.14,11.72,185.0,BAJAJFINSV,Mar 2024,14.13,37.0,25.85,4.7894,2.1971,0.2054,-79634.0,10960.0,51.0,37.9421,2.0,288933.0,-68674.0,26.866929375263293,19.419000777252027,78.55,2024.0,78,BAJAJFINSV,2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56
BAJAJHLDNG,https://mkt.in/static/mkt-icons/nifty100/BAJAJHLDNG.png,Bajaj Holdings & Investment Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bajaj Holdings & Investment Ltd. operates as an Investment Company and is registered as a Non-Banking Financial Institution- Investment and Credit Company with the Reserve Bank of India. The Co. holds more than 36% stake in both Bajaj Auto Ltd. and Bajaj Finserv Ltd.

",https://www.bhil.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJAJHLDNG,https://www.bseindia.com/stock-share-price/bajaj-holdings-investment-ltd/BAJAJHLDNG/500490/,10.0,5375.0,13.1,14.8,197.0,BAJAJHLDNG,Mar 2024,432.73,92.0,13.58,0.0012,3764.5,0.0261,1469.0,472.0,653.0,48.8712,20.0,63.0,1941.0,15.861476721965072,13.349003708686812,77.78,2024.0,84,BAJAJHLDNG,2024,2191568.13,2726439.01,37.73,9.38,27.47,3.37
BAJFINANCE,https://mkt.in/static/mkt-icons/nifty100/BAJFINANCE.png,Bajaj Finance Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bajaj Finance is mainly engaged in the business of lending. BFL has a diversified lending portfolio across retail, SME and commercial customers with a significant presence in urban and rural India. It also accepts public and corporate deposits and offers variety of financial services products to its customers.",https://www.bajajfinserv.in/,https://www.nseindia.com/get-quotes/equity?symbol=BAJFINANCE,https://www.bseindia.com/stock-share-price/bajaj-finance-ltd/BAJFINANCE/500034/,2.0,1402.0,11.9,22.1,207.0,BAJFINANCE,Mar 2024,26.29,19987.0,18.84,3.8248,2689.1667,0.1463,-79931.0,7171.0,233.0,61.8516,15.0,293346.0,-72760.0,29.432552886480103,36.166120037292785,78.84,2024.0,90,BAJFINANCE,2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27
BANKBARODA,https://mkt.in/static/mkt-icons/nifty100/BANKBARODA.png,Bank of Baroda,https://in.tradingview.com/chart/?symbol=BANKBARODA,"Bank of Baroda is engaged in providing various services, such as personal banking, corporate banking, international banking, small and medium enterprise (SME) banking, rural banking, non-resident Indian (NRI) services and treasury services.",http://www.bankofbaroda.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BANKBARODA,https://www.bseindia.com/stock-share-price/bank-of-baroda/BANKBARODA/532134/,2.0,231.0,6.33,16.7,219.0,BANKBARODA,Mar 2024,15.94,4102.0,15.76,12.1437,1.8967,0.0715,-7559.0,1285.0,36.0,11.5553,21.0,1453761.0,-6274.0,11.305257440365612,13.190071553549942,56.2,2024.0,96,BANKBARODA,2024,590971.02,656699.32,16.89,4.15,24.7,2.62
BEL,https://mkt.in/static/mkt-icons/nifty100/BEL.png,Bharat Electronics Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ABEL,"Incorporated in 1954, Bharat Electronics Ltd manufactures and supplies electronic equipment and systems to the defence sector. Company also has a limited presence in the civilian market",http://www.bel-india.in/,https://www.nseindia.com/get-quotes/equity?symbol=BEL,https://www.bseindia.com/stock-share-price/bharat-electronics-ltd/BEL/500049/,1.0,24.0,34.6,26.3,243.0,BEL,Mar 2024,19.66,25.0,4744.05,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43.0,4659.0,11.250824192187213,14.357470570225338,82.71,2024.0,102,BEL,2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76
BHARTIARTL,https://mkt.in/static/mkt-icons/nifty100/BHARTIARTL.png,Bharti Airtel Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ABHARTIARTL,"Bharti Airtel Ltd is one of the world's leading providers of telecommunication services with presence in 18 countries representing India, Sri
Lanka, 14 countries in Africa.",http://www.airtel.in/,https://www.nseindia.com/get-quotes/equity?symbol=BHARTIARTL,https://www.bseindia.com/stock-share-price/bharti-airtel-ltd/BHARTIARTL/532454/,5.0,153.0,13.1,14.9,231.0,BHARTIARTL,Mar 2024,5.71,52.0,10.36,2.6095,3.3055,0.3393,27809.0,51089.0,13.0,2.8717,62.0,215592.0,78898.0,6.2550960049664095,12.835911623041918,37.11,2024.0,108,BHARTIARTL,2024,378605.83,429972.49,63.78,6.28,39.71,1.02
BHEL,https://mkt.in/static/mkt-icons/nifty100/BHEL.png,"Bharat Heavy Electricals Limited
",https://in.tradingview.com/chart/?symbol=BSE%3ABHEL,Bharat Heavy Electricals Limited is an Indian central public sector undertaking and the largest government-owned electrical/ industrial technology company.,https://www.bhel.com/,https://www.nseindia.com/get-quotes/equity?symbol=BHEL,https://www.bseindia.com/stock-share-price/bharat-electronics-ltd/bel/500049/,2.0,70.0,3.28,1.05,255.0,BHEL,Mar 2024,1.18,3.0,1.15,0.3624,1.593,0.3996,-2382.0,1331.0,1.0,3.5112,31.0,8856.0,-3713.0,-6.303928938384695,-25.01641376179441,15.52,2024.0,114,BHEL,2024,540053.85,682460.17,29.8,11.43,21.59,4.04
BOSCHLTD,https://mkt.in/static/mkt-icons/nifty100/BOSCHLTD.png,Bosch Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bosch Ltd has presence across automotive technology, industrial technology, consumer goods and energy and building technology. It manufactures and trades in products such as diesel and gasoline fuel injection systems, automotive aftermarket products, industrial equipment, electrical power tools, security systems",https://www.bosch.in/,https://www.nseindia.com/get-quotes/equity?symbol=BOSCHLTD,https://www.bseindia.com/stock-share-price/bosch-ltd/BOSCHLTD/500530/,10.0,4319.0,20.6,16.0,267.0,BOSCHLTD,Mar 2024,14.89,13.0,20.64,0.0032,71.7843,0.9638,1536.0,283.0,844.0,40.2133,44.0,39.0,1253.0,6.168451574472078,9.071721336588446,65.75,2024.0,120,BOSCHLTD,2024,2599556.05,2628370.51,58.43,6.47,16.07,4.23
BPCL,https://mkt.in/static/mkt-icons/nifty100/BPCL.png,Bharat Petroleum Corporation Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bharat Petroleum Corporation is a public sector company which is engaged in the business of refining of crude oil and marketing of petroleum products.[1]

",https://www.bharatpetroleum.in/,https://www.nseindia.com/get-quotes/equity?symbol=BPCL,https://www.bseindia.com/stock-share-price/bharat-petroleum-corporation-ltd/BPCL/500547/,10.0,178.0,32.1,41.9,279.0,BPCL,Mar 2024,5.99,10.0,35.51000000000001,0.7219,11.3555,2.2137,25415.0,10521.0,62.0,3.541,33.0,54599.0,35936.0,5.752972110070154,27.009133548312626,68.13,2024.0,126,BPCL,2024,468662.13,606487.07,68.15,0.72,26.59,1.15
BRITANNIA,https://mkt.in/static/mkt-icons/nifty100/BRITANNIA.png,Britannia Industries Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Britannia Industries is one of Indias leading food companies with a 100 year legacy and annual revenues in excess of Rs. 9000 Cr. Britannia is among the most trusted food brands, and manufactures Indias favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India. Britannias product portfolio includes Biscuits, Bread, Cakes, Rusk, and Dairy products including Cheese, Beverages, Milk and Yoghurt.

",https://www.britannia.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BRITANNIA,https://www.bseindia.com/stock-share-price/britannia-industries-ltd/BRITANNIA/500825/,1.0,133.0,48.9,57.1,291.0,BRITANNIA,Mar 2024,12.73,19.0,54.15,0.524,20.5976,1.8484,3050.0,477.0,89.0,16.4208,83.0,2065.0,2573.0,9.49111037408743,21.090760318638814,79.6,2024.0,132,BRITANNIA,2024,324745.74,376568.58,63.91,4.26,33.95,1.88
CANBK,https://mkt.in/static/mkt-icons/nifty100/CANBK.png,Canara Bank,https://in.tradingview.com/chart/?symbol=NSE%3ACANBK,"Canara Bank was merged with erstwhile Syndicate Bank in FY21.{# Canara was incorporated in 1906 and nationalised in 1969, along with 13 other major commercial banks of India, by the GoI. The bank is headquartered in Bangalore.",http://www.canarabank.com/,https://www.nseindia.com/get-quotes/equity?symbol=CANBK,https://www.bseindia.com/stock-share-price/canara-bank/CANBK/532483/,2.0,102.0,6.63,17.9,303.0,CANBK,Mar 2024,13.94,-7745.0,16.72,14.8674,1.6107,0.072,13296.0,1750.0,17.0,5.079,19.0,1369780.0,15046.0,11.291100655809627,16.05134826357628,58.0,2024.0,138,CANBK,2024,496415.88,483983.21,36.74,12.61,25.23,3.81
CHOLAFIN,https://mkt.in/static/mkt-icons/nifty100/CHOLAFIN.png,Cholamandalam Investment & Finance Company Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Cholamandalam Investment & Finance Company is one of the premier diversified non-banking finance companies in India, engaged in providing vehicle finance, home loans and Loan against property.[1]


",https://www.cholamandalam.com/,https://www.nseindia.com/get-quotes/equity?symbol=CHOLAFIN,https://www.bseindia.com/stock-share-price/cholamandalam-investment-finance-company-ltd/CHOLAFIN/511243/,2.0,255.0,10.4,20.2,315.0,CHOLAFIN,Mar 2024,17.85,4548.0,17.46,6.8634,21.2118,0.1223,-38538.0,2855.0,41.0,11.6625,5.0,134475.0,-35683.0,20.038605985259327,24.463846126875378,75.31,2024.0,144,CHOLAFIN,2024,971931.96,1024979.49,16.79,10.36,13.52,2.83
CIPLA,https://mkt.in/static/mkt-icons/nifty100/CIPLA.png,"Cipla Ltd
","https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0
",Cipla is engaged in the Business of Pharmaceuticals.(Source : 202003 Annual Report Page No:157),https://www.cipla.com/,https://www.nseindia.com/get-quotes/equity?symbol=CIPLA,https://www.bseindia.com/stock-share-price/cipla-ltd/CIPLA/500087/,2.0,351.0,22.8,16.8,327.0,CIPLA,Mar 2024,16.12,6291.0,15.55,0.0209,35.3388,0.7922,1152.0,2982.0,51.0,16.5876,25.0,559.0,4134.0,10.875788653165653,9.407957360203856,66.85,2024.0,150,CIPLA,2024,439803.15,562931.78,59.75,5.93,33.7,0.12
COALINDIA,https://mkt.in/static/mkt-icons/nifty100/COALINDIA.png,Coal India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ACOALINDIA,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilizers, brick kilns etc.",http://www.coalindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=COALINDIA,https://www.bseindia.com/stock-share-price/coal-india-ltd/COALINDIA/533278/,10.0,156.0,63.6,52.0,339.0,COALINDIA,Mar 2024,26.26,47971.0,45.17,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523.0,18103.0,6.901870831390378,7.220628498640447,73.73,2024.0,156,COALINDIA,2024,454024.84,574785.39,34.27,14.75,25.15,4.38
DABUR,https://mkt.in/static/mkt-icons/nifty100/DABUR.png,Dabur India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ADABUR,Dabur India is one of the leading fast moving consumer goods (FMCG) players dealing in consumer care and food products.,http://www.dabur.com/,https://www.nseindia.com/get-quotes/equity?symbol=DABUR,https://www.bseindia.com/stock-share-price/dabur-india-ltd/DABUR/500096/,1.0,59.0,22.3,19.2,351.0,DABUR,Mar 2024,14.6,19.0,18.36,0.1384,23.2419,0.8206,1042.0,971.0,10.0,5.574,53.0,1365.0,2013.0,6.601431123318302,8.13637059268537,62.01,2024.0,162,DABUR,2024,56521.84,67755.32,50.95,13.59,12.02,3.42
DIVISLAB,https://mkt.in/static/mkt-icons/nifty100/DIVISLAB.png,Divis Laboratories Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Incorporated in 1990, Divis Laboratories Ltd manufactures and exports API's, Intermediates and Nutraceutical ingredients",https://www.divislaboratories.com/lander,https://www.nseindia.com/get-quotes/equity?symbol=DIVISLAB,https://www.bseindia.com/stock-share-price/divis-laboratories-ltd/DIVISLAB/532488/,2.0,517.0,16.5,12.2,363.0,DIVISLAB,Mar 2024,20.4,28.0,11.79,0.0002,636.25,0.5074,992.0,269.0,60.0,25.6057,50.0,3.0,1261.0,12.511490330230668,9.293175538754372,68.59,2024.0,168,DIVISLAB,2024,1615028.67,1501836.03,69.95,12.34,31.81,1.39
DLF,https://mkt.in/static/mkt-icons/nifty100/DLF.png,DLF Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"DLF Ltd with its subsidiaries, associates and JVs is engaged in real estate development, from the identification and acquisition of land to planning, execution, construction and marketing of projects. It is also engaged in business of leasing, generation of power, provision of maintenance services, hospitality and recreational services which are related to the overall development of real estate business.",https://www.dlf.in/,https://www.nseindia.com/get-quotes/equity?symbol=DLF,https://www.bseindia.com/stock-share-price/dlf-ltd/DLF/532868/,2.0,163.0,5.74,6.95,375.0,DLF,Mar 2024,42.38,33.0,6.909999999999999,0.1226,7.4579,0.1088,1010.0,1529.0,11.0,7.9659,45.0,4834.0,2539.0,-1.713766189354271,13.645656730642287,54.94,2024.0,174,DLF,2024,1381712.03,1248409.43,46.26,14.32,10.41,2.58
DMART,https://mkt.in/static/mkt-icons/nifty100/DMART.png,Avenue Supermarts Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ADMART,"Avenue Supermarts Limited (DMart) is a national supermarket chain, with a focus on value-retailing. We offer a wide range of products with a focus on the Foods, Non-Foods (FMCG) and General Merchandise
& Apparel product categories",http://www.dmartindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=DMART,https://www.bseindia.com/stock-share-price/avenue-supermarts-ltd/DMART/540376/,10.0,309.0,19.4,14.5,387.0,DMART,Mar 2024,4.99,8.0,13.56,0.0317,73.2931,2.3989,278.0,2468.0,39.0,2.8722,0.0,592.0,2746.0,28.069240831008923,34.925132785944115,73.39,2024.0,180,DMART,2024,3053088.97,3624591.94,72.53,11.71,36.84,1.94
DRREDDY,https://mkt.in/static/mkt-icons/nifty100/DRREDDY.png,Dr Reddys Laboratories Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Dr. Reddy's Laboratories Ltd is a leading India-based pharmaceutical company which offers a portfolio of products and services, including Active Pharmaceutical Ingredients (APIs), Custom Pharmaceutical services (CPS), generics, biosimilars and differentiated formulations.",https://www.drreddys.com/,https://www.nseindia.com/get-quotes/equity?symbol=DRREDDY,https://www.bseindia.com/stock-share-price/dr-reddys-laboratories-ltd/DRREDDY/500124/,1.0,369.0,26.5,21.4,399.0,DRREDDY,Mar 2024,19.91,28.0,19.74,0.0709,51.7076,0.7223,509.0,4034.0,67.0,34.041,12.0,2002.0,4543.0,8.148686685959095,12.4990986817211,74.94,2024.0,186,DRREDDY,2024,2441803.28,2725256.67,11.73,10.19,14.56,0.09
